"","Date","Crime","Amalia"
"439","Jul-Sep 2022","MotorTheft",0
"440","Oct-Dec 2022","MotorTheft",0
"441","Jan-Mar 2018","MotorGoodsTheft",0
"442","Apr-Jun 2018","MotorGoodsTheft",0
"443","Jul-Sep 2018","MotorGoodsTheft",0
"444","Oct-Dec 2018","MotorGoodsTheft",0
"445","Jan-Mar 2019","MotorGoodsTheft",0
"446","Apr-Jun 2019","MotorGoodsTheft",0
"447","Jul-Sep 2019","MotorGoodsTheft",0
"448","Oct-Dec 2019","MotorGoodsTheft",1
"449","Jan-Mar 2020","MotorGoodsTheft",0
"450","Apr-Jun 2020","MotorGoodsTheft",1
"451","Jul-Sep 2020","MotorGoodsTheft",0
"452","Oct-Dec 2020","MotorGoodsTheft",0
"453","Jan-Mar 2021","MotorGoodsTheft",0
"454","Apr-Jun 2021","MotorGoodsTheft",1
"455","Jul-Sep 2021","MotorGoodsTheft",1
"456","Oct-Dec 2021","MotorGoodsTheft",1
"457","Jan-Mar 2022","MotorGoodsTheft",0
"458","Apr-Jun 2022","MotorGoodsTheft",0
"459","Jul-Sep 2022","MotorGoodsTheft",0
"460","Oct-Dec 2022","MotorGoodsTheft",0
"461","Jan-Mar 2018","StockTheft",6
"462","Apr-Jun 2018","StockTheft",5
"463","Jul-Sep 2018","StockTheft",5
"464","Oct-Dec 2018","StockTheft",5
"465","Jan-Mar 2019","StockTheft",1
"466","Apr-Jun 2019","StockTheft",6
"467","Jul-Sep 2019","StockTheft",13
"468","Oct-Dec 2019","StockTheft",13
"469","Jan-Mar 2020","StockTheft",7
"470","Apr-Jun 2020","StockTheft",11
"471","Jul-Sep 2020","StockTheft",6
"472","Oct-Dec 2020","StockTheft",7
"473","Jan-Mar 2021","StockTheft",7
"474","Apr-Jun 2021","StockTheft",8
"475","Jul-Sep 2021","StockTheft",10
"476","Oct-Dec 2021","StockTheft",13
"477","Jan-Mar 2022","StockTheft",3
"478","Apr-Jun 2022","StockTheft",6
"479","Jul-Sep 2022","StockTheft",5
"480","Oct-Dec 2022","StockTheft",5
"481","Jan-Mar 2018","OtherTheft",4
"482","Apr-Jun 2018","OtherTheft",8
"483","Jul-Sep 2018","OtherTheft",7
"484","Oct-Dec 2018","OtherTheft",7
"485","Jan-Mar 2019","OtherTheft",2
"486","Apr-Jun 2019","OtherTheft",6
"487","Jul-Sep 2019","OtherTheft",1
"488","Oct-Dec 2019","OtherTheft",5
"489","Jan-Mar 2020","OtherTheft",4
"490","Apr-Jun 2020","OtherTheft",4
"491","Jul-Sep 2020","OtherTheft",8
"492","Oct-Dec 2020","OtherTheft",4
"493","Jan-Mar 2021","OtherTheft",4
"494","Apr-Jun 2021","OtherTheft",1
"495","Jul-Sep 2021","OtherTheft",8
"496","Oct-Dec 2021","OtherTheft",6
"497","Jan-Mar 2022","OtherTheft",1
"498","Apr-Jun 2022","OtherTheft",2
"499","Jul-Sep 2022","OtherTheft",3
"500","Oct-Dec 2022","OtherTheft",3
"501","Jan-Mar 2018","CommecialCrimes",0
"502","Apr-Jun 2018","CommecialCrimes",0
"503","Jul-Sep 2018","CommecialCrimes",0
"504","Oct-Dec 2018","CommecialCrimes",0
"505","Jan-Mar 2019","CommecialCrimes",1
"506","Apr-Jun 2019","CommecialCrimes",1
"507","Jul-Sep 2019","CommecialCrimes",1
"508","Oct-Dec 2019","CommecialCrimes",1
"509","Jan-Mar 2020","CommecialCrimes",0
"510","Apr-Jun 2020","CommecialCrimes",0
"511","Jul-Sep 2020","CommecialCrimes",0
"512","Oct-Dec 2020","CommecialCrimes",0
"513","Jan-Mar 2021","CommecialCrimes",1
"514","Apr-Jun 2021","CommecialCrimes",2
"515","Jul-Sep 2021","CommecialCrimes",0
"516","Oct-Dec 2021","CommecialCrimes",0
"517","Jan-Mar 2022","CommecialCrimes",0
"518","Apr-Jun 2022","CommecialCrimes",0
"519","Jul-Sep 2022","CommecialCrimes",0
"520","Oct-Dec 2022","CommecialCrimes",0
"521","Jan-Mar 2018","ShopLifiting",0
"522","Apr-Jun 2018","ShopLifiting",0
"523","Jul-Sep 2018","ShopLifiting",0
"524","Oct-Dec 2018","ShopLifiting",0
"525","Jan-Mar 2019","ShopLifiting",0
"526","Apr-Jun 2019","ShopLifiting",0
"527","Jul-Sep 2019","ShopLifiting",0
"528","Oct-Dec 2019","ShopLifiting",0
"529","Jan-Mar 2020","ShopLifiting",0
"530","Apr-Jun 2020","ShopLifiting",0
"531","Jul-Sep 2020","ShopLifiting",0
"532","Oct-Dec 2020","ShopLifiting",0
"533","Jan-Mar 2021","ShopLifiting",0
"534","Apr-Jun 2021","ShopLifiting",1
"535","Jul-Sep 2021","ShopLifiting",0
"536","Oct-Dec 2021","ShopLifiting",0
"537","Jan-Mar 2022","ShopLifiting",0
"538","Apr-Jun 2022","ShopLifiting",0
"539","Jul-Sep 2022","ShopLifiting",0
"540","Oct-Dec 2022","ShopLifiting",0
"541","Jan-Mar 2018","IllegalPossessionofFirearms",0
"542","Apr-Jun 2018","IllegalPossessionofFirearms",0
"543","Jul-Sep 2018","IllegalPossessionofFirearms",0
"544","Oct-Dec 2018","IllegalPossessionofFirearms",0
"545","Jan-Mar 2019","IllegalPossessionofFirearms",0
"546","Apr-Jun 2019","IllegalPossessionofFirearms",0
"547","Jul-Sep 2019","IllegalPossessionofFirearms",0
"548","Oct-Dec 2019","IllegalPossessionofFirearms",0
"549","Jan-Mar 2020","IllegalPossessionofFirearms",0
"550","Apr-Jun 2020","IllegalPossessionofFirearms",0
"551","Jul-Sep 2020","IllegalPossessionofFirearms",0
"552","Oct-Dec 2020","IllegalPossessionofFirearms",0
"553","Jan-Mar 2021","IllegalPossessionofFirearms",0
"554","Apr-Jun 2021","IllegalPossessionofFirearms",0
"555","Jul-Sep 2021","IllegalPossessionofFirearms",0
"556","Oct-Dec 2021","IllegalPossessionofFirearms",0
"557","Jan-Mar 2022","IllegalPossessionofFirearms",1
"558","Apr-Jun 2022","IllegalPossessionofFirearms",0
"559","Jul-Sep 2022","IllegalPossessionofFirearms",0
"560","Oct-Dec 2022","IllegalPossessionofFirearms",3
"561","Jan-Mar 2018","DrugCrimes",2
"562","Apr-Jun 2018","DrugCrimes",2
"563","Jul-Sep 2018","DrugCrimes",3
"564","Oct-Dec 2018","DrugCrimes",0
"565","Jan-Mar 2019","DrugCrimes",0
"566","Apr-Jun 2019","DrugCrimes",0
"567","Jul-Sep 2019","DrugCrimes",1
"568","Oct-Dec 2019","DrugCrimes",0
"569","Jan-Mar 2020","DrugCrimes",0
"570","Apr-Jun 2020","DrugCrimes",0
"571","Jul-Sep 2020","DrugCrimes",0
